Pre-test,Post-test,Difference
13,12,-1
5,7,2
4,4,0
8,12,4
10,8,-2
7,11,4
12,12,0
7,11,4
7,13,6
10,12,2
10,10,0
10,13,3
10,12,2
10,12,2
10,10,0
10,10,0
10,12,2
10,12,2
10,12,2
10,12,2
10,12,2
14,12,-2
11,10,-1
7,14,7
14,13,-1
14,15,1
11,9,-2
12,12,0
10,13,3
10,12,2
10,11,1
10,12,2
11,12,1
11,12,1
11,10,-1
10,12,2
10,12,2
9,12,3
9,12,3
5,12,7
8,12,4
12,12,0
12,12,0
12,11,-1
11,14,3
11,14,3
7,12,5
8,12,4
9,12,3
7,12,5
9,12,3
6,12,6
9,12,3
8,10,2
9,12,3
11,11,0
11,10,-1
9,9,0
11,11,0
10,10,0
8,8,0
11,12,1
12,10,-2
10,10,0
10,9,-1
9,13,4
6,12,6
9,12,3
7,12,5
9,11,2
10,12,2
8,12,4
9,10,1
5,12,7
9,12,3
4,12,8
8,11,3
14,14,0
14,14,0
11,12,1
14,13,-1
12,10,-2
12,12,0
12,12,0
12,12,0
12,11,-1
11,13,2
11,10,-1
9,10,1
13,13,0
13,13,0
14,14,0
2,12,10
2,10,8
1,12,11
1,10,9
2,12,10
2,12,10
2,10,8
2,11,9
2,9,7
2,12,10
2,10,8
2,2,0
10,8,-2
11,11,0
14,13,-1
12,10,-2
10,12,2
2,10,8
2,12,10
2,10,8
2,12,10
2,12,10
11,12,1
10,12,2
9,12,3
9,12,3
10,11,1
9,12,3
6,7,1
15,15,0
7,7,0
5,6,1
8,6,-2
6,7,1
6,6,0
10,5,-5
7,7,0
9,10,1
6,7,1
9,12,3
6,12,6
2,12,10
3,12,9
10,11,1
10,13,3
10,12,2
9,12,3
10,12,2
