Pre-test,Post-test,Difference
14,14,0
4,6,2
5,3,-2
6,7,1
6,6,0
11,14,3
11,14,3
10,13,3
11,11,0
8,13,5
8,13,5
8,13,5
7,13,6
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
8,13,5
11,11,0
10,9,-1
13,12,-1
12,13,1
8,8,0
6,7,1
12,11,-1
11,13,2
8,13,5
8,13,5
8,13,5
8,13,5
8,12,4
8,13,5
8,13,5
8,13,5
8,13,5
7,13,6
5,13,8
6,12,6
12,11,-1
12,11,-1
12,12,0
13,12,-1
12,10,-2
4,13,9
4,13,9
5,13,8
6,13,7
5,12,7
4,13,9
4,13,9
4,13,9
5,13,8
10,10,0
10,12,2
3,11,8
10,10,0
5,9,4
6,9,3
12,11,-1
12,9,-3
5,5,0
12,10,-2
6,13,7
4,13,9
3,14,11
3,13,10
4,13,9
5,13,8
5,13,8
3,13,10
5,13,8
5,13,8
4,13,9
4,13,9
14,14,0
14,14,0
10,12,2
14,14,0
11,11,0
11,11,0
11,11,0
11,10,-1
8,10,2
9,10,1
4,3,-1
9,10,1
14,13,-1
14,14,0
14,14,0
4,13,9
4,13,9
3,13,10
4,13,9
4,13,9
5,13,8
4,12,8
4,13,9
4,10,6
6,13,7
3,13,10
2,2,0
12,14,2
12,12,0
12,12,0
10,10,0
7,13,6
3,12,9
4,12,8
4,13,9
4,13,9
4,12,8
5,13,8
5,13,8
6,13,7
6,13,7
5,13,8
2,12,10
12,12,0
8,8,0
6,8,2
9,8,-1
9,9,0
10,9,-1
9,9,0
3,6,3
6,1,-5
10,9,-1
11,11,0
3,13,10
5,13,8
8,13,5
7,13,6
8,13,5
8,12,4
8,13,5
8,13,5
9,13,4
